1668444514931.086670 200 242 57 
1668444515042.985352 200 241 57 
1668444515230.987061 199 242 66 
1668444515431.010498 199 247 55 
1668444515631.012207 205 246 66 
1668444515831.021973 207 252 63 
1668444516031.013184 211 248 63 
1668444516231.008057 206 260 67 
1668444516431.036621 209 254 65 
1668444516631.325195 204 255 67 
1668444516831.596436 205 258 68 
1668444517031.492920 198 245 56 
1668444517230.975586 204 256 66 
1668444517430.983398 202 253 66 
1668444517631.001465 205 258 62 
1668444517831.028564 202 259 66 
1668444518031.002686 207 253 71 
1668444518230.987793 211 250 63 
1668444518441.008057 208 252 63 
1668444518630.978516 209 250 60 
1668444518830.999023 208 251 65 
1668444519031.013672 204 248 65 
1668444519230.999023 204 253 68 
1668444519446.978027 208 254 66 
1668444519638.995850 206 247 66 
1668444519830.993164 206 251 62 
1668444520032.968018 208 248 65 
1668444520230.997070 203 250 65 
1668444520431.024170 209 252 60 
1668444520630.995850 207 250 66 
1668444520831.023682 206 254 66 
1668444521030.998535 210 250 68 
1668444521231.046631 206 251 58 
1668444521431.026855 212 253 61 
1668444521631.011475 204 243 67 
1668444521830.984131 205 247 69 
1668444522030.983643 198 255 67 
1668444522231.045654 207 255 66 
1668444522431.002930 206 259 63 
1668444522631.045410 208 257 68 
1668444522831.046631 205 255 69 
1668444523031.039307 205 258 64 
1668444523231.040039 211 255 61 
1668444523440.994141 209 247 64 
1668444523631.034912 199 245 60 
1668444523830.993408 197 243 69 
1668444524030.991943 197 244 63 
1668444524231.014893 205 240 59 
1668444524431.613037 204 242 63 
1668444524631.450928 202 240 56 
1668444524831.010986 207 240 68 
1668444525031.047119 207 242 65 
1668444525190.953369 2976 62464 32571 
1668444525431.044189 202 244 59 
1668444525590.978271 2976 62464 32571 
1668444525831.052002 201 239 63 
1668444526030.997559 200 238 67 
1668444526230.988281 199 244 64 
1668444526431.013916 201 242 60 
1668444526631.025391 197 235 69 
1668444526831.643555 200 243 64 
1668444527031.531250 200 240 60 
1668444527190.976074 2976 62464 32571 
1668444527431.028564 198 238 63 
1668444527631.052490 202 241 64 
1668444527831.050293 199 243 63 
1668444528031.045166 193 244 57 
1668444528190.938965 2976 62464 32571 
1668444528441.020752 205 254 60 
1668444528631.008057 214 254 61 
1668444528831.029785 208 261 61 
1668444529031.019287 207 259 58 
1668444529231.724609 210 256 66 
1668444529431.039062 211 261 57 
1668444529631.031006 201 252 60 
1668444529831.039551 213 267 64 
1668444530031.037842 204 267 65 
1668444530231.048340 206 265 58 
1668444530390.934814 2976 62464 32571 
1668444530630.987793 201 265 58 
1668444530831.000488 190 259 64 
1668444531031.023193 184 230 62 
1668444531191.291748 2976 62464 32571 
1668444531431.008789 267 234 63 
1668444531631.025146 258 234 61 
1668444531831.609131 202 240 61 
1668444532031.020996 178 231 56 
1668444532190.918457 2976 62464 32571 
1668444532431.095947 200 219 59 
1668444532631.010010 223 238 63 
1668444532831.009033 172 239 63 
1668444533031.051025 179 224 57 
